<NUMBER OF ZONES> 3061										
<NUMBER OF NODES> 55559											
<FIRST THRU NODE> 1											
<NUMBER OF LINKS> 57002											
<END OF METADATA>


Init node	Term node		Length	Free Flow Time	B	Power	Speed limit	Toll	Type	Cost
1	54632	99999	0.94913	0.036505	0.15	4	26	0	1	0
2	29402	99999	0.54824	0.021086154	0.15	4	26	0	1	0
2	54633	99999	0.64614	0.024851538	0.15	4	26	0	1	0
3	29331	99999	1.07559	0.041368846	0.15	4	26	0	1	0
3	29390	99999	0.75921	0.029200385	0.15	4	26	0	1	0
3	29395	99999	1.38379	0.053222692	0.15	4	26	0	1	0
4	29395	99999	0.80511	0.030965769	0.15	4	26	0	1	0
4	29404	99999	0.62411	0.024004231	0.15	4	26	0	1	0
4	29429	99999	0.46713	0.017966538	0.15	4	26	0	1	0
5	29431	99999	0.27038	0.010399231	0.15	4	26	0	1	0
5	29435	99999	0.38411	0.014773462	0.15	4	26	0	1	0
6	29419	99999	0.96571	0.037142692	0.15	4	26	0	1	0
7	54635	99999	0.93261	0.035869615	0.15	4	26	0	1	0
8	34946	99999	0.50418	0.019391538	0.15	4	26	0	1	0
9	34944	99999	1.0838	0.041684615	0.15	4	26	0	1	0
9	34946	99999	0.49425	0.019009615	0.15	4	26	0	1	0
10	34972	99999	0.49316	0.018967692	0.15	4	26	0	1	0
10	34981	99999	0.50172	0.019296923	0.15	4	26	0	1	0
11	34944	99999	0.58389	0.022457308	0.15	4	26	0	1	0
11	34956	99999	0.49694	0.019113077	0.15	4	26	0	1	0
11	34982	99999	0.91025	0.035009615	0.15	4	26	0	1	0
12	25220	99999	0.51684	0.019878462	0.15	4	26	0	1	0
12	34955	99999	0.64552	0.024827692	0.15	4	26	0	1	0
13	34976	99999	0.50223	0.019316538	0.15	4	26	0	1	0
13	34979	99999	0.62344	0.023978462	0.15	4	26	0	1	0
13	34986	99999	0.49744	0.019132308	0.15	4	26	0	1	0
14	34952	99999	0.75334	0.028974615	0.15	4	26	0	1	0
